Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ModesTestSuite,Chrome 70.0.3538.67,,2018-10-30 00:12:41,2018-10-30 00:13:10,29.197s,FAILED
,,,,,,
Test Cases/RecordMode,Chrome 70.0.3538.67,,2018-10-30 00:12:41,2018-10-30 00:13:09,28.300s,FAILED
openBrowser,Chrome 70.0.3538.67,,2018-10-30 00:12:45,2018-10-30 00:12:49,3.834s,PASSED
navigateToUrl,Chrome 70.0.3538.67,,2018-10-30 00:12:49,2018-10-30 00:13:04,15.409s,PASSED
setText,Chrome 70.0.3538.67,,2018-10-30 00:13:04,2018-10-30 00:13:05,0.596s,PASSED
click,Chrome 70.0.3538.67,,2018-10-30 00:13:05,2018-10-30 00:13:06,0.803s,PASSED
setEncryptedText,Chrome 70.0.3538.67,,2018-10-30 00:13:06,2018-10-30 00:13:07,1.638s,FAILED
