Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ModesTestSuite,Chrome 70.0.3538.67,,2018-10-30 01:24:19,2018-10-30 01:24:55,35.864s,FAILED
,,,,,,
Test Cases/RecordMode,Chrome 70.0.3538.67,,2018-10-30 01:24:20,2018-10-30 01:24:54,34.211s,FAILED
openBrowser,Chrome 70.0.3538.67,,2018-10-30 01:24:20,2018-10-30 01:24:36,15.089s,PASSED
navigateToUrl,Chrome 70.0.3538.67,,2018-10-30 01:24:36,2018-10-30 01:24:39,3.811s,PASSED
setText,Chrome 70.0.3538.67,,2018-10-30 01:24:39,2018-10-30 01:24:41,1.250s,PASSED
click,Chrome 70.0.3538.67,,2018-10-30 01:24:41,2018-10-30 01:24:44,3.086s,PASSED
setEncryptedText,Chrome 70.0.3538.67,,2018-10-30 01:24:44,2018-10-30 01:24:51,7.549s,FAILED
